Phase 05 - Full Label System
input=C:\Users\Admin\Documents\GAN_SQLi\Guiding\Phase 4\outputs\full\phase04_payload_foundation.parquet
out_dir=C:\Users\Admin\Documents\GAN_SQLi\Guiding\Phase 5\outputs\full
report_dir=C:\Users\Admin\Documents\GAN_SQLi\Guiding\Phase 5\reports
log_dir=C:\Users\Admin\Documents\GAN_SQLi\Guiding\Phase 5\logs
batch_size=100000
payload_col=payload_working
mode=full
rows_total=12,753,953
batch=1 rows=100,000/12,753,953 rate=715/s elapsed=139.9s
batch=2 rows=200,000/12,753,953 rate=798/s elapsed=250.8s
batch=3 rows=300,000/12,753,953 rate=842/s elapsed=356.5s
batch=4 rows=400,000/12,753,953 rate=864/s elapsed=462.8s
batch=5 rows=500,000/12,753,953 rate=879/s elapsed=569.1s
batch=6 rows=600,000/12,753,953 rate=889/s elapsed=674.8s
batch=7 rows=700,000/12,753,953 rate=897/s elapsed=780.4s
batch=8 rows=800,000/12,753,953 rate=898/s elapsed=891.0s
batch=9 rows=900,000/12,753,953 rate=903/s elapsed=997.1s
batch=10 rows=1,000,000/12,753,953 rate=907/s elapsed=1102.6s
batch=11 rows=1,100,000/12,753,953 rate=909/s elapsed=1210.2s
batch=12 rows=1,200,000/12,753,953 rate=907/s elapsed=1322.6s
batch=13 rows=1,300,000/12,753,953 rate=909/s elapsed=1430.7s
batch=14 rows=1,400,000/12,753,953 rate=911/s elapsed=1536.5s
batch=15 rows=1,500,000/12,753,953 rate=911/s elapsed=1646.3s
batch=16 rows=1,600,000/12,753,953 rate=908/s elapsed=1761.5s
batch=17 rows=1,700,000/12,753,953 rate=906/s elapsed=1875.6s
batch=18 rows=1,800,000/12,753,953 rate=905/s elapsed=1988.3s
batch=19 rows=1,900,000/12,753,953 rate=882/s elapsed=2154.7s
batch=20 rows=2,000,000/12,753,953 rate=870/s elapsed=2298.8s
batch=21 rows=2,100,000/12,753,953 rate=871/s elapsed=2411.0s
batch=22 rows=2,200,000/12,753,953 rate=873/s elapsed=2520.9s
batch=23 rows=2,300,000/12,753,953 rate=875/s elapsed=2627.7s
batch=24 rows=2,400,000/12,753,953 rate=877/s elapsed=2735.8s
batch=25 rows=2,500,000/12,753,953 rate=878/s elapsed=2847.5s
batch=26 rows=2,600,000/12,753,953 rate=879/s elapsed=2958.9s
